Nombre,Equipo,Juegos Jugados,Asistencias,Promedio
* Nick Lucena,Mayaguez San Benito,3,11,3
* William A. Rivera Montalvo,Arecibo Colegio San Felipe,2,8,4
* Jadier Torres,Guaynabo Adianez,1,7,7
Luis Santiago,Mayaguez San Benito,3,5,1
Janpier Lezcano Pabey,Ponce San Conrado,1,5,5
Adrian Y. Berrios Nunez,Arecibo Colegio San Felipe,2,5,2
* Yahir Cordero,Mayaguez San Benito,3,5,1
* Yahil Rivera Cintron,Ponce San Conrado,1,5,5
* Justin G. Molina Rosa,Arecibo Colegio San Felipe,2,5,2
* Jazhel Torres,Rio Grande Kingdom,1,5,5
