Nombre,Equipo,Juegos Jugados,Anotaciones,Promedio
Ricardo Burgos Rivera,Ponce San Conrado,1,1/2,100
Andres M. Rodriguez Rodriguez,Arecibo Colegio San Felipe,2,1/2,100
* Yobed Diaz,Rio Grande Kingdom,1,1/0,100
* Gustavo Colon,Caguas Colegio Bautista,1,3/2,100
Jose Medina,Caguas Colegio Bautista,1,3/3,75
* Nick Lucena,Mayaguez San Benito,3,15/21,71
* Denzel Hollingsworth,Caguas Colegio Bautista,1,5/4,71
Leroy Crispin,Mayaguez San Benito,3,2/0,66
* Sebastian Negron,Guaynabo Adianez,1,9/2,64
* Derick Osorio Marquez,Carolina St. Francis,1,5/4,62
