Nombre,Equipo,Juegos Jugados,Anotaciones,Promedio
Jose Colon,Guaynabo Adianez,1,2/2,100
* Sebastian Negron,Guaynabo Adianez,1,2/2,100
* Reinaldo Santana Pagan,Ponce San Conrado,1,5/5,100
* Luis G. Rivera Rosario,Caguas Colegio Bautista,1,2/2,100
* Jadier Torres,Guaynabo Adianez,1,2/2,100
* Francisco Moron Santiago,Carolina St. Francis,1,2/2,100
* Denzel Hollingsworth,Caguas Colegio Bautista,1,4/4,100
* Michael J. Arce Pagan,Arecibo Colegio San Felipe,2,21/25,84
* Yahir Cordero,Mayaguez San Benito,3,20/24,83
* Cristian Rosario Cuba,Carolina St. Francis,1,5/6,83
