Nombre,Equipo,Juegos Jugados,Anotaciones,Promedio
Jadiel J. Harrison Fernandez,Arecibo Colegio San Felipe,1,1/1,100
Andres M. Rodriguez Rodriguez,Arecibo Colegio San Felipe,2,1/1,100
* Gustavo Colon,Caguas Colegio Bautista,1,1/1,100
* Geryad Rosario,Mayaguez San Benito,3,2/2,100
* Derick Osorio Marquez,Carolina St. Francis,1,1/1,100
Christian Mendez,Guaynabo Adianez,1,3/4,75
* Sebastian Negron,Guaynabo Adianez,1,6/10,60
Jose Colon,Guaynabo Adianez,1,1/2,50
* Luis Yamil Benitez,Rio Grande Kingdom,1,3/6,50
Ryan Colon Perez,Carolina St. Francis,1,2/5,40
