NUMERO,NOMBRE,TFG,2FG,3PT,FT,PTS,PTS_PER_MATCH,ORB,ORB_PER_MATCH,DRB,DRB_PER_MATCH,TR,TR_PER_MATCH,PF,PF_PER_MATCH,FD,FD_PER_MATCH,AST,AST_PER_MATCH,_TO,_TO_PER_MATCH,BS,BS_PER_MATCH,ST,ST_PER_MATCH,TIME_PLAYED_IN_SEC,TOTAL_MATCHES
00,Jeziel I. Robles Velez,0/0,0/0,0/0,0/0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,2
1,Kevin M. Candelaria Echevarria,4/9,2/3,2/6,3/4,13,6.5,0,0.0,0,0.0,0,0.0,4,2.0,1,0.5,0,0.0,1,0.5,0,0.0,3,1.5,1326,2
5,Andres M. Rodriguez Rodriguez,1/1,0/0,1/1,1/2,4,2.0,0,0.0,0,0.0,0,0.0,2,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,452,2
6,Justin L. Roman Padilla,2/8,2/6,0/2,1/2,5,2.5,5,2.5,7,3.5,12,6.0,7,3.5,4,2.0,3,1.5,3,1.5,1,0.5,3,1.5,1535,2
7,Erick J. Morales Rodriguez,0/2,0/1,0/1,0/0,0,0.0,1,0.5,0,0.0,1,0.5,1,0.5,0,0.0,1,0.5,0,0.0,0,0.0,0,0.0,267,2
8,Sebastian F. Llovet Freytes,0/0,0/0,0/0,0/0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,2
9,Adrian Y. Berrios Nunez,2/8,2/4,0/4,0/0,4,2.0,3,1.5,8,4.0,11,5.5,4,2.0,1,0.5,5,2.5,2,1.0,0,0.0,0,0.0,2776,2
10,Diego A. Medina Rodriguez,0/0,0/0,0/0,0/0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,2
11,* William A. Rivera Montalvo,2/12,1/6,1/6,1/2,6,3.0,1,0.5,0,0.0,1,0.5,7,3.5,0,0.0,8,4.0,0,0.0,0,0.0,3,1.5,1577,2
13,* Jadiel J. Harrison Fernandez,8/27,7/24,1/3,8/15,25,12.5,10,5.0,5,2.5,15,7.5,5,2.5,11,5.5,0,0.0,4,2.0,1,0.5,2,1.0,3238,2
14,* Justin G. Molina Rosa,3/18,2/12,1/6,3/4,10,5.0,7,3.5,5,2.5,12,6.0,2,1.0,2,1.0,5,2.5,6,3.0,0,0.0,3,1.5,3454,2
15,Eliel Z. Huertas Rodriguez,0/0,0/0,0/0,0/0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,2
20,* Michael J. Arce Pagan,9/28,9/27,0/1,21/25,39,19.5,7,3.5,5,2.5,12,6.0,6,3.0,17,8.5,3,1.5,1,0.5,2,1.0,6,3.0,3681,2
23,* Omaet E. Negron Davila,9/23,9/22,0/1,1/5,19,9.5,14,7.0,9,4.5,23,11.5,9,4.5,6,3.0,3,1.5,2,1.0,1,0.5,4,2.0,3294,2
91,Sebastian A. Collazo Rosario,0/0,0/0,0/0,0/0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,2
6,Justin L. Roman Padilla,2/8,2/6,0/2,1/2,5,2.5,5,2.5,7,3.5,12,6.0,7,3.5,4,2.0,3,1.5,3,1.5,1,0.5,3,1.5,1535,2
13,* Jadiel J. Harrison Fernandez,8/27,7/24,1/3,8/15,25,12.5,10,5.0,5,2.5,15,7.5,5,2.5,11,5.5,0,0.0,4,2.0,1,0.5,2,1.0,3238,2
