NUMERO,NOMBRE,TFG,2FG,3PT,FT,PTS,PTS_PER_MATCH,ORB,ORB_PER_MATCH,DRB,DRB_PER_MATCH,TR,TR_PER_MATCH,PF,PF_PER_MATCH,FD,FD_PER_MATCH,AST,AST_PER_MATCH,_TO,_TO_PER_MATCH,BS,BS_PER_MATCH,ST,ST_PER_MATCH,TIME_PLAYED_IN_SEC,TOTAL_MATCHES
1,* Gustavo Colon,3/3,2/2,1/1,1/2,8,8.0,0,0.0,3,3.0,3,3.0,5,5.0,3,3.0,1,1.0,2,2.0,1,1.0,2,2.0,934,1
2,Edrick Colon,0/0,0/0,0/0,1/2,1,1.0,0,0.0,0,0.0,0,0.0,1,1.0,1,1.0,2,2.0,1,1.0,0,0.0,0,0.0,358,1
4,Yadiel Fernandez,0/0,0/0,0/0,0/0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1
5,Jose Medina,3/4,3/4,0/0,1/3,7,7.0,1,1.0,5,5.0,6,6.0,4,4.0,2,2.0,2,2.0,3,3.0,0,0.0,0,0.0,1445,1
7,* Luis G. Rivera Rosario,3/11,2/2,1/9,2/2,9,9.0,0,0.0,2,2.0,2,2.0,2,2.0,4,4.0,1,1.0,3,3.0,0,0.0,0,0.0,1563,1
10,* Maddox Gali,0/3,0/1,0/2,0/0,0,0.0,0,0.0,0,0.0,0,0.0,4,4.0,2,2.0,3,3.0,6,6.0,0,0.0,0,0.0,738,1
11,Anyulian Sanchez,0/0,0/0,0/0,0/0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,33,1
12,* Denzel Hollingsworth,5/7,5/7,0/0,4/4,14,14.0,4,4.0,9,9.0,13,13.0,5,5.0,5,5.0,0,0.0,1,1.0,0,0.0,3,3.0,1724,1
14,Joel Negron,0/3,0/1,0/2,3/5,3,3.0,1,1.0,0,0.0,1,1.0,4,4.0,2,2.0,3,3.0,2,2.0,0,0.0,0,0.0,1265,1
19,Leonard Alicea,0/0,0/0,0/0,0/0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1
21,Gabriel Moya,0/0,0/0,0/0,0/0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1
22,Jetzel Ortiz,1/5,1/4,0/1,0/0,2,2.0,0,0.0,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1009,1
23,* Kenneth Lopez,0/2,0/1,0/1,0/2,0,0.0,0,0.0,1,1.0,1,1.0,2,2.0,1,1.0,0,0.0,1,1.0,0,0.0,0,0.0,531,1
24,Gustavo Pagan,0/0,0/0,0/0,0/0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1
