NUMERO,NOMBRE,TFG,2FG,3PT,FT,PTS,PTS_PER_MATCH,ORB,ORB_PER_MATCH,DRB,DRB_PER_MATCH,TR,TR_PER_MATCH,PF,PF_PER_MATCH,FD,FD_PER_MATCH,AST,AST_PER_MATCH,_TO,_TO_PER_MATCH,BS,BS_PER_MATCH,ST,ST_PER_MATCH,TIME_PLAYED_IN_SEC,TOTAL_MATCHES
0,* Ezequiel Principe Cruz,3/7,3/7,0/0,10/13,16,16.0,7,7.0,4,4.0,11,11.0,2,2.0,9,9.0,1,1.0,2,2.0,2,2.0,0,0.0,1921,1
2,Ryan Colon Perez,4/7,2/2,2/5,1/3,11,11.0,0,0.0,3,3.0,3,3.0,4,4.0,2,2.0,0,0.0,3,3.0,2,2.0,3,3.0,1093,1
3,* Hector Forty Martinez,2/6,2/6,0/0,0/0,4,4.0,1,1.0,1,1.0,2,2.0,0,0.0,0,0.0,2,2.0,0,0.0,0,0.0,0,0.0,1020,1
4,Carlos Torres Rodriguez,0/0,0/0,0/0,0/0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1
5,* Cristian Rosario Cuba,1/9,1/6,0/3,5/6,7,7.0,0,0.0,3,3.0,3,3.0,3,3.0,4,4.0,5,5.0,2,2.0,0,0.0,1,1.0,1874,1
10,Sebastian Colon Carrion,0/0,0/0,0/0,0/0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1
11,Adrian Oris Collazo,0/0,0/0,0/0,0/0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1
13,Uriel Cains Escobar,0/0,0/0,0/0,0/0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1
14,Dereck Farraro Rivera,0/0,0/0,0/0,0/0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1
15,Ruben Rosado Vazquez,0/0,0/0,0/0,0/0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1
21,* Derick Osorio Marquez,5/8,4/7,1/1,3/4,14,14.0,2,2.0,3,3.0,5,5.0,3,3.0,2,2.0,1,1.0,4,4.0,0,0.0,1,1.0,1528,1
23,* Francisco Moron Santiago,6/10,5/6,1/4,2/2,15,15.0,1,1.0,4,4.0,5,5.0,3,3.0,4,4.0,4,4.0,6,6.0,0,0.0,3,3.0,1866,1
24,Jesus Vela Guzman,0/0,0/0,0/0,0/0,0,0.0,0,0.0,0,0.0,0,0.0,3,3.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,303,1
32,Abner Rivas Alvarado,0/0,0/0,0/0,0/0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1
