NUMERO,NOMBRE,TFG,2FG,3PT,FT,PTS,PTS_PER_MATCH,ORB,ORB_PER_MATCH,DRB,DRB_PER_MATCH,TR,TR_PER_MATCH,PF,PF_PER_MATCH,FD,FD_PER_MATCH,AST,AST_PER_MATCH,_TO,_TO_PER_MATCH,BS,BS_PER_MATCH,ST,ST_PER_MATCH,TIME_PLAYED_IN_SEC,TOTAL_MATCHES
0,Yeray Velez,3/6,3/6,0/0,0/2,6,3.0,5,2.5,6,3.0,11,5.5,6,3.0,2,1.0,1,0.5,2,1.0,1,0.5,0,0.0,2500,2
1,* Ektor Lopez,7/30,7/20,0/10,11/20,25,12.5,2,1.0,4,2.0,6,3.0,4,2.0,13,6.5,3,1.5,2,1.0,0,0.0,2,1.0,3025,2
3,* Erick Lopez,9/18,7/11,2/7,2/4,22,11.0,2,1.0,1,0.5,3,1.5,5,2.5,2,1.0,3,1.5,5,2.5,0,0.0,6,3.0,2401,2
5,Jhael Martinez,0/0,0/0,0/0,0/0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,2
6,* Felix Ruiz,7/27,6/21,1/6,8/13,23,11.5,4,2.0,9,4.5,13,6.5,6,3.0,9,4.5,3,1.5,4,2.0,0,0.0,5,2.5,3623,2
7,Angel Colon,6/17,3/9,3/8,8/11,23,11.5,2,1.0,10,5.0,12,6.0,5,2.5,9,4.5,1,0.5,4,2.0,2,1.0,5,2.5,2741,2
10,Jose Guerrido,0/3,0/1,0/2,0/0,0,0.0,3,1.5,3,1.5,6,3.0,1,0.5,1,0.5,2,1.0,3,1.5,0,0.0,1,0.5,1770,2
11,Fabian Quinonez,0/0,0/0,0/0,0/0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,2
12,* Jesus Diaz,1/8,1/7,0/1,6/8,8,4.0,3,1.5,3,1.5,6,3.0,9,4.5,4,2.0,0,0.0,3,1.5,0,0.0,0,0.0,1994,2
15,* Yael Sosa,1/3,1/2,0/1,0/0,2,1.0,3,1.5,1,0.5,4,2.0,6,3.0,0,0.0,0,0.0,0,0.0,2,1.0,0,0.0,1441,2
24,Miguel Torres,0/0,0/0,0/0,0/0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,2
26,Yan Perez,0/1,0/1,0/0,0/0,0,0.0,1,0.5,1,0.5,2,1.0,1,0.5,1,0.5,1,0.5,2,1.0,0,0.0,1,0.5,709,2
30,Jose Santana,0/0,0/0,0/0,0/0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,2
35,Yerald Diaz,1/2,1/1,0/1,0/0,2,1.0,0,0.0,0,0.0,0,0.0,2,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.5,824,2
77,Geovanniel Molina,0/0,0/0,0/0,0/0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,2
