NUMERO,NOMBRE,TFG,2FG,3PT,FT,PTS,PTS_PER_MATCH,ORB,ORB_PER_MATCH,DRB,DRB_PER_MATCH,TR,TR_PER_MATCH,PF,PF_PER_MATCH,FD,FD_PER_MATCH,AST,AST_PER_MATCH,_TO,_TO_PER_MATCH,BS,BS_PER_MATCH,ST,ST_PER_MATCH,TIME_PLAYED_IN_SEC,TOTAL_MATCHES
1,Derek Diaz,0/0,0/0,0/0,0/0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,37,1
2,* Pedro Esteves,3/7,2/4,1/3,1/2,8,8.0,0,0.0,1,1.0,1,1.0,3,3.0,3,3.0,3,3.0,2,2.0,0,0.0,1,1.0,1063,1
3,* Angel Liz,2/4,2/4,0/0,0/0,4,4.0,0,0.0,2,2.0,2,2.0,2,2.0,0,0.0,1,1.0,1,1.0,0,0.0,0,0.0,983,1
4,Esteban Ramos,0/0,0/0,0/0,0/0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1
5,Orlando Ortega,0/0,0/0,0/0,0/0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1
7,Michael Agnew,0/0,0/0,0/0,0/0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1
8,Angel Cortes,0/0,0/0,0/0,0/0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1
9,Javier Diaz,2/7,2/7,0/0,0/0,4,4.0,1,1.0,0,0.0,1,1.0,2,2.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,751,1
10,* Sebastian Negron,9/14,3/4,6/10,2/2,26,26.0,0,0.0,2,2.0,2,2.0,1,1.0,6,6.0,1,1.0,4,4.0,1,1.0,3,3.0,1810,1
13,Jose Colon,2/4,1/2,1/2,2/2,7,7.0,2,2.0,1,1.0,3,3.0,3,3.0,1,1.0,4,4.0,3,3.0,0,0.0,0,0.0,1095,1
14,* Jadier Torres,2/9,2/8,0/1,2/2,6,6.0,1,1.0,3,3.0,4,4.0,5,5.0,3,3.0,7,7.0,0,0.0,1,1.0,4,4.0,1619,1
22,Joseph Canales,0/0,0/0,0/0,0/0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1
23,Ivan Rosa,0/1,0/1,0/0,0/0,0,0.0,0,0.0,1,1.0,1,1.0,3,3.0,0,0.0,3,3.0,4,4.0,0,0.0,2,2.0,638,1
24,Christian Mendez,5/9,2/5,3/4,2/3,15,15.0,1,1.0,2,2.0,3,3.0,5,5.0,3,3.0,1,1.0,0,0.0,0,0.0,0,0.0,1124,1
33,* Asiel Irrizary,0/0,0/0,0/0,0/0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,2,2.0,0,0.0,485,1
