NUMERO,NOMBRE,TFG,2FG,3PT,FT,PTS,PTS_PER_MATCH,ORB,ORB_PER_MATCH,DRB,DRB_PER_MATCH,TR,TR_PER_MATCH,PF,PF_PER_MATCH,FD,FD_PER_MATCH,AST,AST_PER_MATCH,_TO,_TO_PER_MATCH,BS,BS_PER_MATCH,ST,ST_PER_MATCH,TIME_PLAYED_IN_SEC,TOTAL_MATCHES
0,* Bradley Camacho,15/28,15/28,0/0,11/16,41,13.666666666666666,9,3.0,19,6.333333333333333,28,9.333333333333334,14,4.666666666666667,15,5.0,2,0.6666666666666666,8,2.6666666666666665,15,5.0,1,0.3333333333333333,5365,3
1,Javier Ravelo,0/0,0/0,0/0,0/0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,7,3
2,Sebastian Fuentes,0/3,0/2,0/1,3/4,3,1.0,1,0.3333333333333333,5,1.6666666666666667,6,2.0,1,0.3333333333333333,2,0.6666666666666666,3,1.0,4,1.3333333333333333,0,0.0,0,0.0,1687,3
3,* Nick Lucena,15/21,15/21,0/0,8/21,38,12.666666666666666,3,1.0,19,6.333333333333333,22,7.333333333333333,4,1.3333333333333333,17,5.666666666666667,11,3.6666666666666665,11,3.6666666666666665,4,1.3333333333333333,0,0.0,4824,3
4,Fabian Beniquez,0/2,0/2,0/0,4/6,4,1.3333333333333333,1,0.3333333333333333,3,1.0,4,1.3333333333333333,3,1.0,3,1.0,2,0.6666666666666666,2,0.6666666666666666,1,0.3333333333333333,0,0.0,959,3
6,Geonvannie Ayala,0/1,0/1,0/0,0/0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,165,3
8,Joel Ithier,0/0,0/0,0/0,0/0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,3
11,* Deryk Irrizary,11/26,5/11,6/15,4/9,32,10.666666666666666,1,0.3333333333333333,8,2.6666666666666665,9,3.0,7,2.3333333333333335,10,3.3333333333333335,5,1.6666666666666667,3,1.0,2,0.6666666666666666,4,1.3333333333333333,5934,3
13,Luis Santiago,4/16,3/12,1/4,9/13,18,6.0,5,1.6666666666666667,2,0.6666666666666666,7,2.3333333333333335,14,4.666666666666667,7,2.3333333333333335,5,1.6666666666666667,11,3.6666666666666665,0,0.0,3,1.0,3329,3
18,Leroy Crispin,2/3,2/3,0/0,0/0,4,1.3333333333333333,1,0.3333333333333333,3,1.0,4,1.3333333333333333,4,1.3333333333333333,0,0.0,0,0.0,1,0.3333333333333333,0,0.0,0,0.0,1330,3
24,* Yahir Cordero,9/25,6/17,3/8,20/24,41,13.666666666666666,2,0.6666666666666666,14,4.666666666666667,16,5.333333333333333,14,4.666666666666667,14,4.666666666666667,5,1.6666666666666667,12,4.0,2,0.6666666666666666,4,1.3333333333333333,5301,3
30,Jose Aponte,0/0,0/0,0/0,0/0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,3
31,Miguel Rodriguez,0/0,0/0,0/0,0/0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,3
34,Jomar Rivera,0/0,0/0,0/0,0/0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,3
45,* Geryad Rosario,11/23,9/21,2/2,2/4,26,8.666666666666666,6,2.0,7,2.3333333333333335,13,4.333333333333333,14,4.666666666666667,3,1.0,5,1.6666666666666667,6,2.0,0,0.0,5,1.6666666666666667,4099,3
